,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
14165,4048,その人の四年間,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4048.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/4048_13040.html,5619.0,short,1981.0
14166,3712,その人らしい人が好き,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3712.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3712_13039.html,446.0,flash,1981.0
14167,3430,その源,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3430.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3430_12336.html,1997.0,flash,1980.0
14168,3959,祖父の書斎,NDC 019,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3959.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3959_13037.html,2211.0,shortshort,1981.0
14169,3835,素朴な庭,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3835.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3835_13035.html,1702.0,flash,1981.0
14170,3849,祖母のために,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3849.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3849_13036.html,7726.0,short,1981.0
14171,3845,粗末な花束,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3845.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3845_13038.html,6340.0,short,1981.0
14172,3980,空に咲く花,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3980.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3980_13042.html,650.0,flash,1981.0
14173,3869,空の美,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3869.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3869_13043.html,259.0,flash,1981.0
14174,3484,それに偽りがないならば,NDC 326 916,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3484.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3484_12390.html,16875.0,novelette,1980.0
