作品ID,作品名,人物ID,XHTML/HTMLファイルURL
43366,鴨猟,879,https://www.aozora.gr.jp/cards/000879/files/43366_26100.html
2323,軽井沢で,879,https://www.aozora.gr.jp/cards/000879/files/2323_13460.html
29,カルメン,879,https://www.aozora.gr.jp/cards/000879/files/29_15178.html
70,彼,879,https://www.aozora.gr.jp/cards/000879/files/70_15179.html
71,彼　第二,879,https://www.aozora.gr.jp/cards/000879/files/71_15180.html
72,枯野抄,879,https://www.aozora.gr.jp/cards/000879/files/72_14932.html
43367,彼の長所十八,879,https://www.aozora.gr.jp/cards/000879/files/43367_26101.html
3809,寒山拾得,879,https://www.aozora.gr.jp/cards/000879/files/3809_26610.html
3747,鑑定,879,https://www.aozora.gr.jp/cards/000879/files/3747_27294.html
77,奇怪な再会,879,https://www.aozora.gr.jp/cards/000879/files/77_15181.html
2366,機関車を見ながら,879,https://www.aozora.gr.jp/cards/000879/files/2366_13454.html
76,奇遇,879,https://www.aozora.gr.jp/cards/000879/files/76_15182.html
43368,「菊池寛全集」の序,879,https://www.aozora.gr.jp/cards/000879/files/43368_17878.html
80,煙管,879,https://www.aozora.gr.jp/cards/000879/files/80_15183.html
81,木曽義仲論,879,https://www.aozora.gr.jp/cards/000879/files/81_14934.html
1137,着物,879,https://www.aozora.gr.jp/cards/000879/files/1137_6765.html
2327,凶,879,https://www.aozora.gr.jp/cards/000879/files/2327_13464.html
93,「鏡花全集」目録開口,879,https://www.aozora.gr.jp/cards/000879/files/93_14953.html
3815,教訓談,879,https://www.aozora.gr.jp/cards/000879/files/3815_27295.html
3803,京都日記,879,https://www.aozora.gr.jp/cards/000879/files/3803_27296.html
79,きりしとほろ上人伝,879,https://www.aozora.gr.jp/cards/000879/files/79_14954.html
39,疑惑,879,https://www.aozora.gr.jp/cards/000879/files/39_15184.html
78,金将軍,879,https://www.aozora.gr.jp/cards/000879/files/78_15185.html
2328,鵠沼雑記,879,https://www.aozora.gr.jp/cards/000879/files/2328_13465.html
3784,孔雀,879,https://www.aozora.gr.jp/cards/000879/files/3784_27297.html
91,首が落ちた話,879,https://www.aozora.gr.jp/cards/000879/files/91_15186.html
43369,久保田万太郎氏,879,https://www.aozora.gr.jp/cards/000879/files/43369_26102.html
43370,久米正雄,879,https://www.aozora.gr.jp/cards/000879/files/43370_26103.html
43371,久米正雄氏の事,879,https://www.aozora.gr.jp/cards/000879/files/43371_26104.html
92,蜘蛛の糸,879,https://www.aozora.gr.jp/cards/000879/files/92_14545.html
4311,クラリモンド,879,https://www.aozora.gr.jp/cards/001086/files/4311_33770.html
51865,軍艦金剛航海記,879,https://www.aozora.gr.jp/cards/000879/files/51865_40605.html
4273,芸術その他,879,https://www.aozora.gr.jp/cards/000879/files/4273_6753.html
38,戯作三昧,879,https://www.aozora.gr.jp/cards/000879/files/38_14487.html
37,戯作三昧,879,https://www.aozora.gr.jp/cards/000879/files/37_14479.html
75,袈裟と盛遠,879,https://www.aozora.gr.jp/cards/000879/files/75_15187.html
1131,結婚難並びに恋愛難,879,https://www.aozora.gr.jp/cards/000879/files/1131_6775.html
1128,「ケルトの薄明」より,879,https://www.aozora.gr.jp/cards/001085/files/1128_17118.html
36,玄鶴山房,879,https://www.aozora.gr.jp/cards/000879/files/36_14975.html
3797,講演軍記,879,https://www.aozora.gr.jp/cards/000879/files/3797_27299.html
43375,剛才人と柔才人と,879,https://www.aozora.gr.jp/cards/000879/files/43375_26115.html
90,好色,879,https://www.aozora.gr.jp/cards/000879/files/90_14976.html
33202,後世,879,https://www.aozora.gr.jp/cards/000879/files/33202_12224.html
89,校正後に,879,https://www.aozora.gr.jp/cards/000879/files/89_15188.html
43376,合理的、同時に多量の人間味,879,https://www.aozora.gr.jp/cards/000879/files/43376_26116.html
88,黄粱夢,879,https://www.aozora.gr.jp/cards/000879/files/88_15189.html
85,黒衣聖母,879,https://www.aozora.gr.jp/cards/000879/files/85_15190.html
43373,小杉未醒氏,879,https://www.aozora.gr.jp/cards/000879/files/43373_26105.html
82,古千屋,879,https://www.aozora.gr.jp/cards/000879/files/82_15191.html
